ParkName,Latitude,Longitude
Thaddeus Kosciuszko NMEM,39.943,-75.147
Theodore Roosevelt Birthplace NHS,40.739,-73.989
Theodore Roosevelt Inaugural NHS,42.901,-78.873
Theodore Roosevelt Island,38.896,-77.063
Theodore Roosevelt NP,46.956,-103.463
Thomas Edison NHP,40.786,-74.24
Thomas Jefferson MEM,38.881,-77.036
Thomas Stone NHS,38.529,-77.037
Timpanogos Cave NM,40.44,-111.709
Timucuan EHP,30.476,-81.452
Tonto NM,33.648,-111.114
Tule Springs Fossil Beds NM,36.402,-115.357
Tumacacori NHP,31.573,-111.048
Tuskegee Airmen NHS,32.455,-85.679
Tuskegee Institute NHS,32.43,-85.705
Tuzigoot NM,34.774,-112.028
Ulysses S. Grant NHS,38.552,-90.352
Upper Delaware S&RR,41.517,-75.01
Valles Caldera NPRES,35.918,-106.51
Valley Forge NHP,40.101,-75.445
Vanderbilt Mansion NHS,41.798,-73.942
Vicksburg NMP,32.348,-90.852
Vietnam Veterans MEM,38.891,-77.048
Virgin Islands NP,18.344,-64.74
Voyageurs NP,48.466,-92.886
Waco Mammoth NM,31.605,-97.176
Walnut Canyon NM,35.167,-111.504
War in the Pacific NHP,13.39,144.655
Washington Monument,38.888,-77.035
Washita Battlefield NHS,35.621,-99.704
Weir Farm NHP,41.258,-73.455
Whiskeytown NRA,40.616,-122.613
White House,38.897,-77.037
White Sands NP,32.765,-106.326
Whitman Mission NHS,46.043,-118.465
William Howard Taft NHS,39.12,-84.508
Wilson's Creek NB,37.1,-93.409
Wind Cave NP,43.575,-103.429
Wolf Trap NP for the Performing Arts,38.938,-77.264
Women's Rights NHP,42.903,-76.844
World War I Memorial,38.896,-77.033
World War II Memorial,38.889,-77.04
Wrangell-St. Elias NP & PRES,61.216,-143.866
Wright Brothers NMEM,36.018,-75.668
Wupatki NM,35.565,-111.406
Yellowstone NP,44.583,-110.49
Yosemite NP,37.84,-119.541
Yukon-Charley Rivers NPRES,65.059,-143.136
Zion NP,37.28,-113.046
Klondike Gold Rush NHP Seattle,47.599,-122.332
LBJ Memorial Grove on the Potomac,38.879,-77.051
National Capital Parks Combined,39.063,-76.835
National Capital Parks East,39.063,-76.835
Oklahoma City NMEM,35.473,-97.517
President's Park,38.898,-77.036
