RecreationVisits,RecreationHours,TentCampers,RVCampers,BackcountryCampers,Campers,Clusters,Cluster Color
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
2266,7931,0,0,0,0,0,peach
15776,66998,486,168,0,654,0,peach
31342,136850,1040,469,0,1509,0,peach
27736,121773,1054,318,0,1372,0,peach
22517,85046,234,112,0,346,0,peach
14777,51720,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
1995,6982,0,0,0,0,0,peach
25834,101572,542,77,0,619,0,peach
40269,165826,1172,210,0,1382,0,peach
33554,140937,1078,228,0,1306,0,peach
23742,88639,276,32,0,308,0,peach
14919,52216,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
161,564,0,0,0,0,0,peach
15176,53117,0,0,0,0,0,peach
43735,153072,0,0,0,0,0,peach
33408,116928,0,0,0,0,0,peach
29330,102654,0,0,0,0,0,peach
13594,47578,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
300,1050,0,0,0,0,0,peach
20314,71097,0,0,0,0,0,peach
41140,143990,0,0,0,0,0,peach
31024,108584,0,0,0,0,0,peach
16793,58776,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
17800,62302,0,0,0,0,0,peach
48736,170578,0,0,0,0,0,peach
33074,115761,0,0,0,0,0,peach
30627,107194,0,0,0,0,0,peach
9487,33204,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
0,0,0,0,0,0,0,peach
